image,object_class,confidence,x1,y1,x2,y2
image10.jpg,car,0.2695,694.41,212.88,798.3,326.68
image10.jpg,truck,0.2632,693.92,212.15,798.48,325.89
image10.jpg,person,0.2623,183.63,211.96,193.96,237.77
image11.jpg,car,0.763,1820.01,2414.5,2016.19,2560.47
image11.jpg,car,0.669,2157.88,2357.63,2341.65,2516.77
image11.jpg,truck,0.5757,3498.82,2248.81,4030.98,3023.66
image11.jpg,car,0.5205,2454.76,2249.04,2606.15,2343.94
image11.jpg,car,0.5172,3112.53,2622.56,3615.49,2941.75
image11.jpg,car,0.4988,3503.13,2248.94,4030.56,3022.42
image11.jpg,car,0.4968,2063.01,2037.95,2168.66,2142.21
image11.jpg,car,0.4485,2260.34,1997.31,2355.93,2064.54
image11.jpg,car,0.4435,2362.19,2099.87,2479.28,2204.93
image11.jpg,car,0.4158,3115.32,2505.67,3621.21,2943.31
image11.jpg,car,0.3592,2852.74,2470.87,3095.14,2695.99
image12.jpg,car,0.8976,183.68,334.45,428.82,455.51
image12.jpg,person,0.8618,499.97,276.76,577.27,462.34
image12.jpg,car,0.7759,637.88,352.9,709.1,409.83
image12.jpg,car,0.6951,0.0,347.5,120.71,432.82
image12.jpg,car,0.6772,388.69,354.42,444.12,389.37
image12.jpg,bicycle,0.6442,513.52,378.34,566.38,501.36
image12.jpg,car,0.6442,473.45,359.08,503.81,382.9
image12.jpg,car,0.4746,452.34,364.2,475.84,384.11
image12.jpg,person,0.4639,763.78,346.1,778.46,390.21
image12.jpg,car,0.375,449.42,361.77,475.53,384.38
image12.jpg,person,0.3623,700.25,346.55,717.0,398.85
image12.jpg,car,0.2732,595.0,359.42,607.18,371.77
image13.jpg,car,0.8344,212.24,261.78,269.86,299.15
image13.jpg,car,0.8296,467.76,279.8,499.82,365.07
image13.jpg,car,0.788,182.62,263.69,224.13,297.12
image13.jpg,car,0.7525,395.85,253.14,438.05,292.0
image13.jpg,car,0.6731,245.53,250.89,291.8,292.46
image13.jpg,car,0.5583,305.31,254.59,348.22,283.31
image13.jpg,car,0.5361,367.35,259.85,386.57,272.67
image13.jpg,car,0.5353,288.68,260.5,313.92,287.68
image13.jpg,car,0.466,474.39,258.75,499.81,302.44
image13.jpg,car,0.4301,434.02,254.67,451.94,283.09
image14.jpg,person,0.8273,985.86,417.31,1138.66,652.82
image14.jpg,bicycle,0.7878,746.3,506.89,920.69,651.38
image14.jpg,bicycle,0.7497,507.55,385.62,638.39,459.32
image14.jpg,bicycle,0.7455,651.86,361.27,763.92,458.86
image14.jpg,bicycle,0.7036,946.25,562.21,1137.96,655.0
image14.jpg,person,0.7012,790.32,411.43,857.91,633.9
image14.jpg,person,0.6898,682.41,315.81,752.43,446.97
image14.jpg,person,0.6219,611.36,305.1,641.98,385.81
image14.jpg,person,0.5909,541.84,331.69,611.25,445.27
image14.jpg,person,0.5682,865.33,280.81,895.4,374.39
image14.jpg,person,0.5013,257.37,387.97,371.83,591.24
image14.jpg,person,0.5006,333.45,292.71,356.29,359.04
image14.jpg,person,0.4566,289.92,273.03,316.38,362.0
image14.jpg,car,0.4199,65.96,289.48,144.14,351.05
image14.jpg,person,0.3963,261.06,294.14,290.53,368.72
image14.jpg,person,0.3635,292.03,269.23,321.66,362.57
image14.jpg,car,0.3117,66.27,289.25,144.18,397.18
image14.jpg,person,0.2639,256.58,391.31,314.07,580.07
image14.jpg,car,0.2637,67.78,289.3,142.13,322.19
image14.jpg,person,0.2559,257.09,388.92,331.64,584.03
image14.jpg,person,0.2517,537.39,307.43,563.41,364.23
image15.jpg,bicycle,0.9177,472.67,286.0,631.39,451.82
image15.jpg,person,0.8596,309.31,201.85,381.32,383.41
image15.jpg,car,0.8033,585.25,211.78,677.75,245.48
image15.jpg,person,0.7648,450.01,208.49,478.81,302.36
image15.jpg,car,0.7311,24.22,203.2,93.58,229.6
image15.jpg,car,0.6464,165.81,200.89,194.61,216.58
image15.jpg,car,0.6291,124.25,200.97,160.58,221.48
image15.jpg,person,0.6151,488.87,203.45,592.69,392.46
image15.jpg,car,0.5187,366.06,200.67,455.02,242.27
image15.jpg,car,0.4351,407.9,203.45,514.0,249.5
image15.jpg,car,0.3872,191.86,201.64,208.95,214.12
image15.jpg,bicycle,0.3483,318.79,289.18,382.22,420.43
image15.jpg,bicycle,0.3418,334.55,297.31,376.69,421.35
image15.jpg,car,0.2744,166.09,200.78,208.25,215.71
image16.jpg,bicycle,0.8468,48.22,194.81,131.76,291.0
image16.jpg,person,0.8387,161.87,72.9,246.32,277.61
image16.jpg,person,0.8272,59.86,105.44,130.61,257.37
image16.jpg,person,0.8023,390.38,146.03,445.36,267.7
image16.jpg,bicycle,0.7602,158.34,189.37,237.09,325.63
image16.jpg,person,0.7071,278.38,170.5,303.9,231.27
image16.jpg,car,0.6721,443.72,168.92,547.0,237.57
image16.jpg,person,0.5887,322.44,201.08,336.95,236.01
image16.jpg,car,0.5517,126.97,211.56,150.85,225.45
image16.jpg,person,0.514,278.65,170.18,302.0,242.46
image16.jpg,person,0.45,346.02,193.41,362.91,235.82
image16.jpg,person,0.4252,343.4,187.77,361.8,236.25
image16.jpg,person,0.3589,347.06,188.9,361.69,236.04
image16.jpg,bicycle,0.3204,281.6,200.61,296.45,243.2
image16.jpg,person,0.2948,262.4,201.06,269.72,223.36
image16.jpg,truck,0.2828,445.43,169.15,546.82,237.2
image16.jpg,person,0.2711,378.45,192.4,391.8,234.91
image17.jpg,car,0.8537,972.19,608.0,1355.13,954.37
image17.jpg,person,0.8458,461.49,817.05,700.31,1319.85
image17.jpg,person,0.8417,730.96,840.59,979.7,1311.93
image17.jpg,car,0.8387,722.18,608.28,1024.15,887.98
image17.jpg,person,0.7948,148.31,772.64,339.38,1284.9
image17.jpg,person,0.7737,1381.2,831.41,1750.08,1313.17
image17.jpg,car,0.7707,722.75,415.02,981.57,669.11
image17.jpg,car,0.7327,274.27,488.8,618.57,822.55
image17.jpg,person,0.7134,987.68,836.57,1152.03,1313.56
image17.jpg,person,0.6689,1112.87,804.25,1361.02,1305.61
image17.jpg,car,0.6196,1504.6,436.32,1775.5,629.59
image17.jpg,car,0.6164,372.96,176.28,508.13,270.41
image17.jpg,car,0.6148,0.07,943.25,227.03,1347.37
image17.jpg,car,0.5716,599.21,264.29,725.44,365.91
image17.jpg,car,0.5231,779.12,227.72,994.95,400.48
image17.jpg,car,0.472,685.5,275.42,799.2,386.53
image17.jpg,car,0.4048,194.74,437.11,413.57,649.74
image17.jpg,car,0.3987,835.93,500.94,1163.51,624.72
image17.jpg,car,0.3477,476.05,167.13,575.11,259.45
image17.jpg,car,0.2963,1298.2,383.13,1481.95,537.97
image17.jpg,person,0.2953,1112.17,805.66,1306.56,1302.75
image17.jpg,car,0.2884,1298.85,403.85,1463.26,539.26
image17.jpg,car,0.277,1297.09,367.87,1502.2,542.09
image17.jpg,car,0.2568,1242.34,322.15,1462.06,492.8
image18.jpg,person,0.5712,59.6,528.97,82.13,587.82
image18.jpg,car,0.5376,197.14,519.22,228.8,543.31
image18.jpg,car,0.5304,278.58,527.11,330.57,560.28
image18.jpg,car,0.4864,248.84,525.94,292.6,555.53
image18.jpg,person,0.4543,312.39,535.48,334.64,592.98
image18.jpg,car,0.4447,623.14,518.78,676.0,568.85
image18.jpg,car,0.408,358.07,533.01,446.05,581.96
image18.jpg,car,0.3768,611.66,519.89,676.0,569.21
image18.jpg,person,0.3595,115.35,526.22,132.44,555.89
image18.jpg,car,0.3367,349.4,518.14,417.75,546.6
image18.jpg,car,0.2697,360.7,536.46,420.37,575.64
image18.jpg,car,0.2661,140.3,515.08,165.67,532.47
image18.jpg,car,0.2501,359.25,534.9,437.43,575.55
image19.jpg,person,0.7457,301.91,464.66,331.15,541.2
image19.jpg,person,0.5866,233.37,465.09,258.05,539.37
image19.jpg,person,0.5678,152.41,465.33,171.07,522.81
image19.jpg,car,0.4633,284.38,457.83,310.1,487.37
image19.jpg,bicycle,0.2996,303.1,507.63,331.26,541.53
image19.jpg,person,0.2714,223.79,466.1,247.76,542.73
image19.jpg,car,0.2659,322.27,459.82,343.27,483.96
image2.jpg,person,0.8815,132.4,819.88,408.54,1498.68
image2.jpg,person,0.8515,824.92,792.89,1060.86,1542.54
image2.jpg,car,0.7445,2420.79,904.7,2559.23,1304.28
image2.jpg,person,0.7359,1934.26,817.41,2130.5,1328.67
image2.jpg,person,0.7075,1784.75,826.6,1853.91,1010.06
image2.jpg,car,0.7066,487.42,855.74,828.29,1180.73
image2.jpg,car,0.6532,321.66,903.24,574.24,1310.45
image2.jpg,person,0.6002,1710.2,814.21,1776.07,992.62
image2.jpg,car,0.566,2226.51,870.79,2551.34,1210.09
image2.jpg,person,0.5627,1123.62,833.91,1217.93,1088.44
image2.jpg,car,0.4865,1150.79,758.48,1284.16,908.47
image2.jpg,bicycle,0.4544,834.02,1164.47,1050.15,1627.48
image2.jpg,bicycle,0.4317,1894.79,1018.99,2121.28,1388.91
image2.jpg,car,0.4308,1363.97,846.69,1697.5,978.53
image2.jpg,car,0.4106,1244.54,742.94,1361.3,882.07
image2.jpg,car,0.4054,122.7,903.19,570.74,1312.41
image2.jpg,person,0.401,1703.95,811.94,1776.99,1024.38
image2.jpg,car,0.4003,0.18,957.5,149.91,1523.3
image2.jpg,car,0.372,1011.8,811.38,1194.83,957.47
image2.jpg,bicycle,0.3655,184.1,1191.03,331.69,1638.09
image2.jpg,car,0.337,1850.32,768.62,2015.62,909.96
image2.jpg,person,0.3075,1873.41,834.97,1998.29,1214.38
image2.jpg,bicycle,0.2957,1964.32,1047.62,2118.63,1387.62
image2.jpg,bicycle,0.2871,1671.41,881.22,1760.22,1030.91
image2.jpg,person,0.2869,1138.84,839.57,1219.64,1083.21
image2.jpg,bicycle,0.2844,220.74,1200.02,332.53,1637.29
image2.jpg,bicycle,0.2794,844.65,1177.85,1002.31,1621.92
image20.jpg,person,0.8885,40.07,240.23,181.36,585.12
image20.jpg,person,0.8715,832.37,299.15,899.41,584.92
image20.jpg,person,0.8501,364.6,296.45,463.35,542.87
image20.jpg,person,0.8425,771.54,298.43,849.5,564.37
image20.jpg,person,0.819,0.18,237.24,52.1,589.9
image20.jpg,person,0.7939,560.89,288.45,635.27,600.0
image20.jpg,person,0.7813,187.84,272.79,273.83,532.23
image20.jpg,person,0.693,732.91,250.27,801.0,483.27
image20.jpg,person,0.6751,613.34,285.52,734.05,597.61
image20.jpg,person,0.4916,667.26,290.44,759.17,596.94
image20.jpg,bus,0.4386,837.0,204.86,900.0,266.66
image20.jpg,person,0.4193,201.53,274.91,270.97,530.82
image20.jpg,bus,0.3909,237.55,94.58,688.35,276.61
image20.jpg,car,0.3834,445.31,286.51,653.07,414.71
image20.jpg,car,0.3366,443.0,314.09,523.15,414.2
image20.jpg,bus,0.334,225.54,117.07,685.91,257.18
image20.jpg,car,0.2782,260.73,295.17,373.83,384.38
image20.jpg,bus,0.2652,238.11,98.42,686.26,325.88
image20.jpg,person,0.2635,679.77,312.12,759.26,599.8
image21.jpg,car,0.7043,0.59,387.26,82.27,482.81
image21.jpg,person,0.6815,77.06,386.39,98.05,449.69
image21.jpg,person,0.5165,223.79,387.53,240.97,444.27
image21.jpg,person,0.3684,57.65,381.92,79.84,439.88
image21.jpg,person,0.3664,135.17,385.37,164.58,445.63
image21.jpg,person,0.3025,104.59,387.26,128.61,448.26
image22.jpg,car,0.7723,0.0,288.86,98.26,334.14
image22.jpg,person,0.674,349.85,290.39,386.36,358.26
image22.jpg,person,0.4766,289.87,302.35,318.33,385.13
image22.jpg,person,0.4639,282.16,302.74,317.15,385.23
image22.jpg,car,0.4356,149.43,284.11,208.57,313.9
image22.jpg,car,0.4162,255.62,295.63,275.76,312.42
image22.jpg,person,0.2581,290.72,304.2,314.83,379.1
image23.jpg,person,0.8279,181.5,249.98,219.69,388.63
image23.jpg,person,0.8153,121.49,248.64,178.42,400.28
image23.jpg,person,0.4958,0.04,246.49,10.08,299.68
image23.jpg,car,0.4729,238.38,256.43,266.96,283.21
image23.jpg,person,0.3578,370.95,222.89,400.13,284.03
image24.jpg,car,0.756,83.17,276.56,144.04,321.15
image24.jpg,truck,0.686,0.0,218.85,87.0,383.38
image24.jpg,truck,0.4405,138.89,170.16,368.84,343.44
image25.jpg,car,0.5903,0.26,303.49,70.59,378.33
image25.jpg,car,0.5797,364.53,307.18,470.07,383.64
image25.jpg,car,0.5502,621.1,309.52,674.31,367.46
image25.jpg,truck,0.5,525.34,300.24,599.7,358.84
image25.jpg,truck,0.4821,642.01,311.69,760.0,405.0
image25.jpg,truck,0.4493,36.97,283.2,112.97,368.29
image25.jpg,truck,0.3989,525.57,270.47,600.71,358.68
image25.jpg,car,0.3967,641.41,310.97,759.61,405.2
image25.jpg,truck,0.3934,0.04,302.33,71.59,378.34
image25.jpg,truck,0.3225,524.9,253.44,603.55,358.2
image25.jpg,truck,0.2839,214.93,295.86,349.84,361.47
image3.jpg,car,0.8975,750.66,274.64,1013.72,405.47
image3.jpg,person,0.8903,478.69,235.47,577.72,500.73
image3.jpg,car,0.8629,237.65,295.71,417.26,385.09
image3.jpg,car,0.8472,663.89,279.24,793.67,370.93
image3.jpg,car,0.7931,365.8,294.19,493.74,358.88
image3.jpg,car,0.6595,0.09,296.68,73.47,355.62
image3.jpg,car,0.5328,68.98,288.86,201.68,369.66
image3.jpg,car,0.3433,68.76,288.05,174.14,367.38
image3.jpg,car,0.316,180.03,313.0,204.0,360.15
image3.jpg,car,0.2642,0.08,300.5,23.51,353.5
image4.jpg,bus,0.8,193.19,203.11,404.59,280.04
image4.jpg,person,0.7878,75.62,225.44,146.31,371.79
image4.jpg,person,0.762,469.21,233.98,507.7,332.95
image4.jpg,car,0.7475,0.19,282.88,58.11,344.54
image4.jpg,person,0.7403,196.61,238.95,235.76,325.18
image4.jpg,person,0.7257,500.04,227.65,534.71,331.98
image4.jpg,bicycle,0.7232,250.31,273.67,319.98,352.63
image4.jpg,person,0.6769,260.99,235.8,315.52,321.47
image4.jpg,person,0.5468,353.99,226.79,381.14,307.05
image4.jpg,car,0.5328,0.03,255.66,91.55,310.44
image4.jpg,person,0.4829,554.14,226.09,572.74,276.13
image4.jpg,person,0.4741,569.7,215.34,588.64,271.37
image4.jpg,person,0.3283,395.64,232.73,407.87,275.62
image4.jpg,car,0.3258,127.61,258.23,180.16,290.67
image4.jpg,person,0.3239,182.4,241.05,195.65,279.98
image4.jpg,person,0.2766,585.96,219.37,602.42,271.29
image4.jpg,bicycle,0.2632,43.14,338.68,158.5,404.25
image5.jpg,car,0.9011,303.57,189.1,388.85,261.32
image5.jpg,car,0.8778,33.03,189.04,214.37,261.01
image5.jpg,car,0.8125,262.97,183.89,308.31,218.47
image5.jpg,car,0.8061,196.31,185.67,258.72,231.19
image5.jpg,person,0.787,5.51,171.53,30.92,237.96
image5.jpg,bus,0.7323,290.21,150.42,352.73,202.42
image5.jpg,person,0.59,187.52,176.81,199.92,197.12
image5.jpg,person,0.567,0.08,169.59,7.88,240.42
image5.jpg,person,0.3472,82.61,173.31,106.7,208.89
image5.jpg,person,0.3117,169.76,175.35,179.96,190.72
image5.jpg,bus,0.2739,290.03,150.31,334.14,202.12
image6.jpg,car,0.8905,196.78,285.17,352.53,390.25
image6.jpg,car,0.8886,67.98,278.18,218.64,362.76
image6.jpg,person,0.8148,464.59,265.16,534.62,445.38
image6.jpg,person,0.7142,531.46,258.71,586.84,444.74
image6.jpg,car,0.5715,299.32,271.35,345.5,310.19
image6.jpg,person,0.4816,452.12,264.46,495.43,338.47
image6.jpg,car,0.48,352.21,271.04,378.91,302.36
image6.jpg,car,0.4567,195.86,269.13,265.74,303.98
image6.jpg,person,0.4379,643.88,261.03,677.78,440.48
image6.jpg,person,0.395,2.27,272.32,22.41,335.8
image6.jpg,person,0.3451,268.32,252.15,301.36,286.71
image6.jpg,person,0.3288,19.08,273.6,41.68,335.39
image6.jpg,car,0.3213,137.42,258.64,172.63,278.05
image6.jpg,person,0.2989,451.96,264.21,496.14,421.93
image6.jpg,car,0.2943,329.41,270.46,378.57,303.18
image6.jpg,person,0.2738,642.01,265.06,677.58,412.01
image6.jpg,car,0.2548,195.81,268.21,249.11,304.68
image7.jpg,car,0.884,753.34,553.66,999.86,758.96
image7.jpg,car,0.8541,960.86,587.81,1115.81,739.56
image7.jpg,person,0.4953,1266.21,559.18,1299.6,776.63
image7.jpg,person,0.465,1229.61,557.61,1277.9,772.99
image9.jpg,person,0.8446,511.33,103.92,591.67,278.4
image9.jpg,car,0.8183,0.26,143.76,77.42,233.32
image9.jpg,person,0.7394,314.63,142.86,341.32,221.71
image9.jpg,car,0.6157,69.44,137.73,151.51,200.93
image9.jpg,car,0.4719,258.02,159.34,300.45,185.3
image9.jpg,person,0.4113,247.49,146.18,261.46,186.92
